rater,Condition#1,Condition#2,Condition#3,Condition#4,Condition#5,Item#1,Item#10,Item#11,Item#12,Item#13,Item#14,Item#15,Item#16,Item#17,Item#18,Item#19,Item#2,Item#20,Item#21,Item#22,Item#23,Item#24,Item#25,Item#26,Item#27,Item#28,Item#29,Item#3,Item#30,Item#4,Item#5,Item#6,Item#7,Item#8,Item#9,papers,dois,dois_clean,title
3,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,n/a,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,n/a,McKenney et al. (2023),doi.org/10.1016/j.adro.2022.100916,10.1016/j.adro.2022.100916,Radiomic analysis to predict histopathologically confirmed pseudoprogression in glioblastoma patients
3,yes,yes,no,no,yes,no,no,yes,n/a,no,n/a,n/a,n/a,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,Moassefi et al. (2022),doi.org/10.1007/s11060-022-04080-x,10.1007/s11060-022-04080-x,A deep learning model for discriminating true progression from pseudoprogression in glioblastoma patients
3,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,n/a,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,n/a,Park et al. (2021),doi.org/10.1038/s41598-021-82467-y,10.1038/s41598-021-82467-y,Differentiation of recurrent glioblastoma from radiation necrosis using diffusion radiomics with machine learning model development and external validation
3,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,n/a,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,n/a,Patel et al. (2021) ,doi.org/10.1016/j.crad.2021.03.019,10.1016/j.crad.2021.03.019,Machine learning-based radiomic evaluation of treatment response prediction in glioblastoma
3,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,n/a,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,n/a,Siakallis et al. (2021) ,doi.org/10.1007/s00234-021-02719-6,10.1007/s00234-021-02719-6,Longitudinal structural and perfusion MRI enhanced by machine learning outperforms standalone modalities and radiological expertise in high-grade glioma surveillance
3,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,n/a,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,yes,n/a,Sun et al. (2021),doi.org/10.1186/s12880-020-00545-5,10.1186/s12880-020-00545-5,Differentiation of pseudoprogression from true progression in glioblastoma patients after standard treatment: a machine learning strategy combined with radiomics features from T1-weighted contrast-enhanced imaging
3,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,n/a,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,n/a,Wang et al. (2020),doi.org/10.1007/s00259-019-04604-0,10.1007/s00259-019-04604-0,Individualized discrimination of tumor recurrence from radiation necrosis in glioma patients using an integrated radiomics-based model
3,yes,no,yes,no,yes,no,no,no,yes,yes,n/a,n/a,n/a,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,n/a,Zhang and Cao et al. (2019),doi.org/10.1155/2019/2893043,10.1155/2019/2893043,Differentiation of recurrence from radiation necrosis in gliomas based on the radiomics of combinational features and multimodality MRI images
3,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,n/a,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,n/a,Zhang and Wu et al. (2022),doi.org/10.1007/s00330-022-09365-3,10.1007/s00330-022-09365-3,Diffusion-weighted imaging and arterial spin labeling radiomics features may improve differentiation between radiation-induced brain injury and glioma recurrence
3,no,no,no,no,no,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,n/a,n/a,Zhang et al. (2016) ,doi.org/10.1016/j.compbiomed.2016.03.027,10.1016/j.compbiomed.2016.03.027,Pseudo progression identification of glioblastoma with dictionary learning
